SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.7805172413793102
2;218;0.7715144340224025
3;203;0.8277868517762351
4;198;0.8897989575577065
5;191;0.9074367088607596
6;184;0.9204339963833635
7;183;0.931475170399221
8;180;0.9339516230104022
9;180;0.9367088607594936
10;180;0.9478631407444541
11;178;0.9567830200741594
12;178;0.9404168264927758
13;178;0.9471934535225675
14;176;0.9526295184653529
15;176;0.9523685240767323
16;175;0.9443563309542692
17;175;0.9459423737774253
18;175;0.9345757335448057
19;172;0.9335252192982455
20;170;0.9321509009009008
21;165;0.9278381642512077
22;139;0.8834928229665072
23;118;0.7743707093821509
24;107;0.7135842880523732
25;102;0.660904255319149
26;101;0.6231003039513678
27;96;0.5592592592592592
28;95;0.6310861423220974
29;93;0.5363636363636364
30;92;0.23863636363636365
31;89;0.22058823529411764
ROC_AUC_SCORE weighted;0.8468014762841686;
F1_SCORE weighted;0.08866994514280203;
