SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.38995689655172416
2;218;0.3750113832984246
3;203;0.3801041241322989
4;198;0.42862461440272304
5;191;0.3931396925858951
6;184;0.4540687160940325
7;183;0.38169425511197663
8;180;0.3799974934202281
9;180;0.481952625642311
10;180;0.49141496428123826
11;178;0.3931722286152666
12;178;0.5008310957678046
13;178;0.40052422963815376
14;176;0.3872504241158815
15;176;0.4584366436121623
16;175;0.4552603753634682
17;175;0.4446867565424267
18;175;0.5134813639968279
19;172;0.3927494517543859
20;170;0.45481418918918914
21;165;0.4627868357487923
22;139;0.4222488038277512
23;118;0.3208237986270023
24;107;0.5098199672667758
25;102;0.48204787234042556
26;101;0.5212765957446808
27;96;0.32407407407407407
28;95;0.6161048689138576
29;93;0.5420454545454546
30;92;0.4659090909090909
31;89;0.34411764705882353
ROC_AUC_SCORE weighted;0.4329360996416146;
F1_SCORE weighted;0.0;
