SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.9486206896551724
2;218;0.9685820963482379
3;203;0.9766231114740711
4;198;0.985214338900117
5;191;0.988245931283906
6;184;0.9879445449065702
7;183;0.9873417721518988
8;180;0.9862138112545432
9;180;0.9865897982203284
10;180;0.9892217069808247
11;178;0.9910497378851809
12;178;0.992200485871372
13;178;0.9911775987725355
14;176;0.9924311627300013
15;176;0.9902127104267259
16;175;0.9883690192968544
17;175;0.9873116574147502
18;175;0.9866508062384352
19;172;0.9876644736842105
20;170;0.9842342342342343
21;165;0.9802234299516909
22;139;0.9794258373205741
23;118;0.9620137299771166
24;107;0.9623567921440263
25;102;0.9561170212765958
26;101;0.9513677811550152
27;96;0.9648148148148148
28;95;0.9662921348314606
29;93;0.9636363636363636
30;92;0.9573863636363636
31;89;0.9764705882352941
ROC_AUC_SCORE weighted;0.9798251159356539;
F1_SCORE weighted;0.7769066511550459;
