SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.695344827586207
2;218;0.7887259812403241
3;203;0.8605553287055941
4;198;0.939368152324221
5;191;0.9431509945750451
6;184;0.9304400241109102
7;183;0.9138266796494646
8;180;0.9024940468730417
9;180;0.9085098383256047
10;180;0.9169068805614738
11;178;0.9231556066999106
12;178;0.9282700421940928
13;178;0.9305715381664748
14;176;0.9339684196789768
15;176;0.9344904084562181
16;175;0.9302141157811261
17;175;0.922812582606397
18;175;0.9110494316679884
19;172;0.9076206140350876
20;170;0.8997747747747749
21;165;0.8885869565217391
22;139;0.838755980861244
23;118;0.7533180778032037
24;107;0.7103109656301145
25;102;0.6569148936170213
26;101;0.6124620060790273
27;96;0.6037037037037037
28;95;0.601123595505618
29;93;0.5204545454545455
30;92;0.3806818181818182
31;89;0.4
ROC_AUC_SCORE weighted;0.8394438978561246;
F1_SCORE weighted;0.1019688356817601;
