SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.8944827586206896
2;218;0.9120298697750661
3;203;0.925990200081666
4;198;0.949367088607595
5;191;0.9621383363471973
6;184;0.9660036166365281
7;183;0.9670155793573515
8;180;0.9657851861135482
9;180;0.9669131470109037
10;180;0.9674144629652839
11;178;0.984400971742744
12;178;0.986958189489835
13;178;0.9819716148830073
14;176;0.9822523815737961
15;176;0.9799034320762103
16;175;0.9768702088289717
17;175;0.9747554850647634
18;175;0.9740946338884483
19;172;0.9808114035087719
20;170;0.9802927927927929
21;165;0.9776570048309179
22;139;0.9775119617224881
23;118;0.9629290617848971
24;107;0.9615384615384616
25;102;0.9428191489361702
26;101;0.9361702127659575
27;96;0.9425925925925925
28;95;0.947565543071161
29;93;0.9340909090909091
30;92;0.90625
31;89;0.8823529411764707
ROC_AUC_SCORE weighted;0.9584245304574917;
F1_SCORE weighted;0.01696105922954974;
