SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.9600862068965518
2;218;0.9608414534195429
3;203;0.9589628419763169
4;198;0.9661738112966706
5;191;0.9669981916817361
6;184;0.9619047619047619
7;183;0.9603213242453749
8;180;0.9540042611856122
9;180;0.9501190625391652
10;180;0.9478631407444542
11;178;0.956271576524741
12;178;0.9521800281293953
13;178;0.9457869837616673
14;176;0.9445386924181131
15;176;0.944930184001044
16;175;0.9443563309542691
17;175;0.9553264604810997
18;175;0.9575733544805709
19;172;0.9577850877192983
20;170;0.962134009009009
21;165;0.9602958937198068
22;139;0.9595693779904306
23;118;0.9510297482837529
24;107;0.9353518821603928
25;102;0.9069148936170213
26;101;0.9027355623100304
27;96;0.9333333333333333
28;95;0.9475655430711611
29;93;0.9477272727272728
30;92;0.9602272727272727
31;89;0.8735294117647059
ROC_AUC_SCORE weighted;0.9511075149569078;
F1_SCORE weighted;0.804184799539332;
