SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.9310344827586207
2;218;0.7825334668973681
3;203;0.9056757860351163
4;198;0.9473460270184023
5;191;0.9455244122965641
6;184;0.9280289330922242
7;183;0.9284323271665044
8;180;0.9087604963027949
9;180;0.9097631282115554
10;180;0.9121443789948616
11;178;0.9207262498401738
12;178;0.9409282700421941
13;178;0.9419511571410306
14;176;0.9355343860107006
15;176;0.932010961764322
16;175;0.9255881575469204
17;175;0.9204335183716628
18;175;0.921755220724293
19;172;0.9162554824561403
20;170;0.908643018018018
21;165;0.9051932367149759
22;139;0.8777511961722487
23;118;0.8080091533180777
24;107;0.7041734860883797
25;102;0.550531914893617
26;101;0.49620060790273557
27;96;0.43518518518518523
28;95;0.44194756554307113
29;93;0.3386363636363636
30;92;0.17329545454545456
31;89;0.18235294117647058
ROC_AUC_SCORE weighted;0.8348709386729535;
F1_SCORE weighted;0.0931917867944022;
