SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.9495689655172415
2;218;0.9656679719515529
3;203;0.9665169456921192
4;198;0.9705350494628232
5;191;0.9702757685352622
6;184;0.9714285714285714
7;183;0.9695715676728336
8;180;0.9581401178092493
9;180;0.9566361699461086
10;180;0.9577641308434641
11;178;0.9595959595959597
12;178;0.9704641350210971
13;178;0.970208413246388
14;176;0.9648962547305232
15;176;0.9571969202662144
16;175;0.9497753106000528
17;175;0.943431139307428
18;175;0.943827650013217
19;172;0.9454495614035088
20;170;0.9498873873873874
21;165;0.9507850241545894
22;139;0.9495215311004785
23;118;0.9281464530892449
24;107;0.8936170212765958
25;102;0.8444148936170213
26;101;0.8206686930091185
27;96;0.8203703703703703
28;95;0.8220973782771537
29;93;0.7931818181818182
30;92;0.7386363636363636
31;89;0.7382352941176471
ROC_AUC_SCORE weighted;0.9348946527125375;
F1_SCORE weighted;0.01815479757393992;
