SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.45862068965517244
2;218;0.4784172661870504
3;203;0.4959677419354839
4;198;0.4957983193277311
5;191;0.4955357142857143
6;184;0.49523809523809526
7;183;0.5
8;180;0.4900990099009901
9;180;0.4801980198019802
10;180;0.4801980198019802
11;178;0.46464646464646464
12;178;0.46464646464646464
13;178;0.46464646464646464
14;176;0.4639175257731959
15;176;0.4639175257731959
16;175;0.4742268041237113
17;175;0.4793814432989691
18;175;0.4896907216494845
19;172;0.4895833333333333
20;170;0.4895833333333333
21;165;0.4895833333333333
22;139;0.48947368421052634
23;118;0.48947368421052634
24;107;0.4627659574468085
25;102;0.4627659574468085
26;101;0.4627659574468085
27;96;0.46111111111111114
28;95;0.4606741573033708
29;93;0.4602272727272727
30;92;0.4602272727272727
31;89;0.4647058823529412
ROC_AUC_SCORE weighted;0.4784739151533776;
F1_SCORE weighted;0.0;
