SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.49310344827586206
2;218;0.5
3;203;0.5
4;198;0.5
5;191;0.5
6;184;0.5
7;183;0.5
8;180;0.5
9;180;0.49504950495049505
10;180;0.49504950495049505
11;178;0.4898989898989899
12;178;0.4898989898989899
13;178;0.4898989898989899
14;176;0.4896907216494845
15;176;0.4896907216494845
16;175;0.4948453608247423
17;175;0.4948453608247423
18;175;0.5
19;172;0.5
20;170;0.5
21;165;0.5
22;139;0.5
23;118;0.5
24;107;0.4946808510638298
25;102;0.48936170212765956
26;101;0.48936170212765956
27;96;0.4888888888888889
28;95;0.4887640449438202
29;93;0.48863636363636365
30;92;0.48863636363636365
31;89;0.49411764705882355
ROC_AUC_SCORE weighted;0.49557452179462186;
F1_SCORE weighted;0.0;
