SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8879637862743512
2;227;0.8887803289366553
3;218;0.8841564323665185
4;213;0.883653497644074
5;207;0.878880213292706
6;200;0.8726591760299626
7;200;0.8726591760299626
8;198;0.8707349757756931
9;198;0.8707349757756931
10;198;0.8707349757756931
11;195;0.8670765316938732
12;195;0.8670765316938732
13;194;0.8659176029962546
14;192;0.8634231482491546
15;192;0.8634231482491546
16;192;0.8634231482491546
17;192;0.8634231482491546
18;191;0.863305383936452
19;190;0.8621880570409981
20;190;0.8621880570409981
21;190;0.8621880570409981
22;189;0.8610486048604862
23;189;0.8610486048604862
24;188;0.8598863636363636
25;188;0.8598863636363636
26;188;0.8598863636363636
27;184;0.857125946969697
28;183;0.8556220095693778
29;180;0.8625633419849215
30;180;0.8625633419849215
31;175;0.8698719623726157
32;172;0.8745267712276906
33;169;0.8699915942841131
34;166;0.8700072621641248
35;163;0.8713080168776371
36;160;0.8662280701754386
37;156;0.8642526455026456
38;155;0.8623407109322602
39;153;0.8643892339544513
40;153;0.8643892339544513
ROC_AUC_SCORE weighted;0.8679678391040129;
F1_SCORE weighted;0.7632719799317297;
