SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9292700670923935
2;227;0.9288389513108615
3;218;0.9240484278372963
4;213;0.9211670895251903
5;207;0.9172538564083031
6;200;0.9120356311367548
7;200;0.9120356311367548
8;198;0.9105246881764766
9;198;0.9105246881764766
10;198;0.9105246881764766
11;195;0.9097943608225567
12;195;0.9097943608225567
13;194;0.9089352594970572
14;192;0.9074942729355295
15;192;0.9074942729355295
16;192;0.9074942729355295
17;192;0.9074942729355295
18;191;0.9115180935569285
19;190;0.9107620320855615
20;190;0.9107620320855615
21;190;0.9107620320855615
22;189;0.90999099909991
23;189;0.90999099909991
24;188;0.9092045454545455
25;188;0.9092045454545455
26;188;0.9092045454545455
27;184;0.9095643939393939
28;183;0.9093301435406699
29;180;0.9116302064021753
30;180;0.9116302064021753
31;175;0.9183433498824144
32;172;0.9200919415900486
33;169;0.9176239843093303
34;166;0.9186637618010167
35;163;0.9204339963833634
36;160;0.9187030075187971
37;156;0.9188161375661376
38;155;0.9188464118041583
39;153;0.9180469289164941
40;153;0.9180469289164941
ROC_AUC_SCORE weighted;0.9139258469392199;
F1_SCORE weighted;0.02034977915026358;
