SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.14744159728397058
2;227;0.1450903761602345
3;218;0.14929013152164447
4;213;0.14706415367886919
5;207;0.15282803275566556
6;200;0.16034011539629517
7;200;0.16034011539629517
8;198;0.1623543964539738
9;198;0.1623543964539738
10;198;0.1623543964539738
11;195;0.16514733941064236
12;195;0.16514733941064236
13;194;0.16618512573568756
14;192;0.16886658666957566
15;192;0.16886658666957566
16;192;0.16886658666957566
17;192;0.16886658666957566
18;191;0.1600838481906443
19;190;0.16120766488413546
20;190;0.16120766488413546
21;190;0.16120766488413546
22;189;0.16235373537353737
23;189;0.16235373537353737
24;188;0.1635227272727273
25;188;0.1635227272727273
26;188;0.1635227272727273
27;184;0.16962594696969696
28;183;0.17141148325358854
29;180;0.1649981460882462
30;180;0.1649981460882462
31;175;0.16056963679122027
32;172;0.16373715521903734
33;169;0.16867469879518074
34;166;0.168482207697894
35;163;0.16305003013863772
36;160;0.168703007518797
37;156;0.1774140211640212
38;155;0.17974513749161636
39;153;0.18271221532091098
40;153;0.18271221532091098
ROC_AUC_SCORE weighted;0.1634977862061269;
F1_SCORE weighted;0.7502260188953854;
