SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9052623070083259
2;227;0.904901481843348
3;218;0.9010539151641843
4;213;0.8995106922798115
5;207;0.8960198057512854
6;200;0.8915882174309141
7;200;0.8915882174309141
8;198;0.8901144211936914
9;198;0.8901144211936914
10;198;0.8901144211936914
11;195;0.8878524485902057
12;195;0.8878524485902057
13;194;0.8871054039593365
14;192;0.8860041453038071
15;192;0.8860041453038071
16;192;0.8860041453038071
17;192;0.8860041453038071
18;191;0.888901147396293
19;190;0.8881461675579322
20;190;0.8881461675579322
21;190;0.8881461675579322
22;189;0.8873762376237625
23;189;0.8873762376237625
24;188;0.8865909090909091
25;188;0.8865909090909091
26;188;0.8865909090909091
27;184;0.8869554924242424
28;183;0.886842105263158
29;180;0.8883945124212088
30;180;0.8883945124212088
31;175;0.8888163051998955
32;172;0.8887236343969713
33;169;0.885962454469039
34;166;0.8864197530864197
35;163;0.8877335744424352
36;160;0.8856516290726817
37;156;0.8852513227513228
38;155;0.8851441985244801
39;153;0.8838854382332644
40;153;0.8838854382332644
ROC_AUC_SCORE weighted;0.8895660480044589;
F1_SCORE weighted;0.05878446816005273;
