SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.4345647077843343
2;227;0.43209574987787003
3;218;0.43371657521121854
4;213;0.43353570134106556
5;207;0.43329841934869545
6;200;0.4329891689442251
7;200;0.4329891689442251
8;198;0.4298010514379961
9;198;0.4298010514379961
10;198;0.4298010514379961
11;195;0.428874284502862
12;195;0.428874284502862
13;194;0.42878544676297486
14;192;0.4311661394131122
15;192;0.4311661394131122
16;192;0.4311661394131122
17;192;0.4311661394131122
18;191;0.4309355692850838
19;190;0.43087121212121215
20;190;0.43087121212121215
21;190;0.43087121212121215
22;189;0.427486498649865
23;189;0.427486498649865
24;188;0.43000000000000005
25;188;0.43000000000000005
26;188;0.43000000000000005
27;184;0.431640625
28;183;0.43433014354066984
29;180;0.4281300210109999
30;180;0.4281300210109999
31;175;0.42663966553436106
32;172;0.4254326663061114
33;169;0.4104791258055478
34;166;0.41590413943355115
35;163;0.4151597347799879
36;160;0.4028822055137845
37;156;0.40004960317460314
38;155;0.3995640509725017
39;153;0.39380607315389915
40;153;0.39380607315389915
ROC_AUC_SCORE weighted;0.42612491356160964;
F1_SCORE weighted;0.0;
