SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8549025947781101
2;227;0.8538511643054877
3;218;0.8443515373225328
4;213;0.8383472272562522
5;207;0.8306989144924776
6;200;0.8207308432027534
7;200;0.8207308432027534
8;198;0.8176476651891558
9;198;0.8176476651891558
10;198;0.8176476651891558
11;195;0.8131227475090099
12;195;0.8131227475090099
13;194;0.811342964151953
14;192;0.8077888076797206
15;192;0.8077888076797206
16;192;0.8077888076797206
17;192;0.8077888076797206
18;191;0.8169682259488085
19;190;0.8156194295900178
20;190;0.8156194295900178
21;190;0.8156194295900178
22;189;0.8143564356435644
23;189;0.8143564356435644
24;188;0.8130681818181819
25;188;0.8130681818181819
26;188;0.8130681818181819
27;184;0.8058712121212122
28;183;0.8038277511961723
29;180;0.8096650599431467
30;180;0.8096650599431467
31;175;0.8121243794094591
32;172;0.8084099513250406
33;169;0.8047072008966097
34;166;0.8058097312999275
35;163;0.8071127185051236
36;160;0.8026315789473685
37;156;0.7953042328042328
38;155;0.7929242119382964
39;153;0.7908902691511387
40;153;0.7908902691511387
ROC_AUC_SCORE weighted;0.8151517427569077;
F1_SCORE weighted;0.04372152277404019;
