SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8613693315010913
2;227;0.8606904412962058
3;218;0.8510582701855238
4;213;0.8452337803552011
5;207;0.837364311559703
6;200;0.8271080068832877
7;200;0.8271080068832877
8;198;0.8239356767343573
9;198;0.8239356767343573
10;198;0.8239356767343573
11;195;0.8283866864532542
12;195;0.8283866864532542
13;194;0.8267522739432851
14;192;0.8234973273699138
15;192;0.8234973273699138
16;192;0.8234973273699138
17;192;0.8234973273699138
18;191;0.8323036187113857
19;190;0.8309937611408199
20;190;0.8309937611408199
21;190;0.8309937611408199
22;189;0.8296579657965798
23;189;0.8296579657965798
24;188;0.8282954545454545
25;188;0.8282954545454545
26;188;0.8282954545454545
27;184;0.8214962121212122
28;183;0.8196172248803828
29;180;0.8256087010258313
30;180;0.8256087010258313
31;175;0.8306767703161746
32;172;0.8269334775554353
33;169;0.8231997758475763
34;166;0.8239651416122005
35;163;0.8256479807112719
36;160;0.8211152882205515
37;156;0.8131613756613756
38;155;0.8108651911468814
39;153;0.8084886128364389
40;153;0.8084886128364389
ROC_AUC_SCORE weighted;0.8287278787469333;
F1_SCORE weighted;0.029455582799072528;
