SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5545226739956349
2;227;0.5527194268034522
3;218;0.5415904537932236
4;213;0.5376495106922798
5;207;0.5276137878499333
6;200;0.5102237068529203
7;200;0.5102237068529203
8;198;0.5086073600659726
9;198;0.5086073600659726
10;198;0.5086073600659726
11;195;0.5100169599321602
12;195;0.5100169599321602
13;194;0.5111289459604066
14;192;0.5165266717573906
15;192;0.5165266717573906
16;192;0.5165266717573906
17;192;0.5165266717573906
18;191;0.5197484554280671
19;190;0.5169340463458111
20;190;0.5169340463458111
21;190;0.5169340463458111
22;189;0.514063906390639
23;189;0.514063906390639
24;188;0.5152272727272728
25;188;0.5152272727272728
26;188;0.5152272727272728
27;184;0.5268702651515151
28;183;0.5322966507177033
29;180;0.5339883821530095
30;180;0.5339883821530095
31;175;0.5150248236216357
32;172;0.5098025959978367
33;169;0.5091762398430932
34;166;0.5103122730573711
35;163;0.5161241711874623
36;160;0.5176221804511278
37;156;0.5233134920634921
38;155;0.5296780684104627
39;153;0.5336438923395446
40;153;0.5336438923395446
ROC_AUC_SCORE weighted;0.5209768706114268;
F1_SCORE weighted;0.0;
