SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.11502707946002746
2;227;0.11529066927210552
3;218;0.12167929622855153
4;213;0.1252265313519391
5;207;0.13102266235002855
6;200;0.13857677902621723
7;200;0.13857677902621723
8;198;0.14081022574992266
9;198;0.14081022574992266
10;198;0.14081022574992266
11;195;0.1447954208183167
12;195;0.1447954208183167
13;194;0.1461744248261102
14;192;0.1490127631722483
15;192;0.1490127631722483
16;192;0.1490127631722483
17;192;0.1490127631722483
18;191;0.139342453662842
19;190;0.14070855614973263
20;190;0.14070855614973263
21;190;0.14070855614973263
22;189;0.1421017101710171
23;189;0.1421017101710171
24;188;0.1435227272727273
25;188;0.1435227272727273
26;188;0.1435227272727273
27;184;0.1495028409090909
28;183;0.15107655502392342
29;180;0.14522308738104067
30;180;0.14522308738104067
31;175;0.14567546380977264
32;172;0.14899945916711738
33;169;0.15186326702157468
34;166;0.1507625272331155
35;163;0.1508438818565401
36;160;0.1531954887218045
37;156;0.15376984126984128
38;155;0.15526492287055668
39;153;0.15424430641821946
40;153;0.15424430641821946
ROC_AUC_SCORE weighted;0.1423227541146284;
F1_SCORE weighted;0.7592421878876874;
