SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.7291245655161264
2;227;0.7292786191174078
3;218;0.7179688180472085
4;213;0.712667633200435
5;207;0.7029137307179586
6;200;0.6877214292944629
7;200;0.6877214292944629
8;198;0.6851870941140088
9;198;0.6851870941140088
10;198;0.6851870941140088
11;195;0.6951452194191223
12;195;0.6951452194191223
13;194;0.6986088817549492
14;192;0.7013744954728919
15;192;0.7013744954728919
16;192;0.7013744954728919
17;192;0.7013744954728919
18;191;0.699801412180053
19;190;0.7034313725490196
20;190;0.7034313725490196
21;190;0.7034313725490196
22;189;0.7071332133213322
23;189;0.7071332133213322
24;188;0.7109090909090909
25;188;0.7109090909090909
26;188;0.7109090909090909
27;184;0.7133049242424242
28;183;0.712799043062201
29;180;0.7161043134346805
30;180;0.7161043134346805
31;175;0.7228246668408675
32;172;0.7362763656030286
33;169;0.7507004763239004
34;166;0.7594045025417574
35;163;0.773508137432188
36;160;0.7847744360902255
37;156;0.7879464285714286
38;155;0.7879778672032192
39;153;0.8009834368530021
40;153;0.8009834368530021
ROC_AUC_SCORE weighted;0.7186234751186248;
F1_SCORE weighted;0.09140960233015809;
