SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8986743189717888
2;227;0.8980214948705423
3;218;0.8918648201376186
4;213;0.8881388184124682
5;207;0.8831175014282993
6;200;0.8764551067921854
7;200;0.8764551067921854
8;198;0.8744974744871662
9;198;0.8744974744871662
10;198;0.8744974744871662
11;195;0.8709455162179351
12;195;0.8709455162179351
13;194;0.8697164258962011
14;192;0.8674048216428494
15;192;0.8674048216428494
16;192;0.8674048216428494
17;192;0.8674048216428494
18;191;0.8685458958517212
19;190;0.8673685383244207
20;190;0.8673685383244207
21;190;0.8673685383244207
22;189;0.8661678667866787
23;189;0.8661678667866787
24;188;0.8649431818181819
25;188;0.8649431818181819
26;188;0.8649431818181819
27;184;0.8763020833333334
28;183;0.8779904306220095
29;180;0.8796193301198862
30;180;0.8796193301198862
31;175;0.8860726417559447
32;172;0.8923066522444564
33;169;0.8888344073970299
34;166;0.8946259985475672
35;163;0.8950421940928269
36;160;0.8949718045112782
37;156;0.9069113756613758
38;155;0.90962441314554
39;153;0.9108005521048999
40;153;0.9108005521048999
ROC_AUC_SCORE weighted;0.8799062131452876;
F1_SCORE weighted;0.0;
