SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6642955298682403
2;227;0.6631248982250448
3;218;0.6696716313909938
4;213;0.6707140268213121
5;207;0.675680822700438
6;200;0.6853426460168033
7;200;0.6853426460168033
8;198;0.6872487372435832
9;198;0.6872487372435832
10;198;0.6872487372435832
11;195;0.6879902480390079
12;195;0.6879902480390079
13;194;0.6890315676832531
14;192;0.6887749536380495
15;192;0.6887749536380495
16;192;0.6887749536380495
17;192;0.6887749536380495
18;191;0.6931266548984996
19;190;0.6941844919786097
20;190;0.6941844919786097
21;190;0.6941844919786097
22;189;0.6952632763276327
23;189;0.6952632763276327
24;188;0.6963636363636365
25;188;0.6963636363636365
26;188;0.6963636363636365
27;184;0.6933593750000001
28;183;0.6919258373205741
29;180;0.6959584723767147
30;180;0.6959584723767147
31;175;0.6942775019597595
32;172;0.6892915089237425
33;169;0.6839450826562061
34;166;0.6848220769789398
35;163;0.6856540084388187
36;160;0.6793546365914788
37;156;0.6701388888888888
38;155;0.6676727028839705
39;153;0.6625258799171843
40;153;0.6625258799171843
ROC_AUC_SCORE weighted;0.6852166747209711;
F1_SCORE weighted;0.0;
