SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.17702691779160942
2;227;0.1782283015795473
3;218;0.1879191708039369
4;213;0.19164552374048568
5;207;0.1988668824985717
6;200;0.21034517663731148
7;200;0.21034517663731148
8;198;0.21384393361509121
9;198;0.21384393361509121
10;198;0.21384393361509121
11;195;0.21745813016747928
12;195;0.21745813016747928
13;194;0.21931514178705186
14;192;0.22330097087378642
15;192;0.22330097087378642
16;192;0.22330097087378642
17;192;0.22330097087378642
18;191;0.22103927625772288
19;190;0.22298351158645277
20;190;0.22298351158645277
21;190;0.22298351158645277
22;189;0.2249662466246625
23;189;0.2249662466246625
24;188;0.2269886363636364
25;188;0.2269886363636364
26;188;0.2269886363636364
27;184;0.23603219696969696
28;183;0.23845693779904306
29;180;0.23235693980966501
30;180;0.23235693980966501
31;175;0.23112098249281424
32;172;0.23228772309356407
33;169;0.2335388063883441
34;166;0.23180827886710242
35;163;0.23010849909584083
36;160;0.23167293233082706
37;156;0.23396164021164018
38;155;0.2345741113346747
39;153;0.23585231193926845
40;153;0.23585231193926845
ROC_AUC_SCORE weighted;0.21957410746124717;
F1_SCORE weighted;0.7020407291330164;
