SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.7424217929027566
2;227;0.7418172936003908
3;218;0.7443602473652121
4;213;0.74542406669083
5;207;0.7489525804608645
6;200;0.7554408340925196
7;200;0.7554408340925196
8;198;0.7542005978765075
9;198;0.7542005978765075
10;198;0.7542005978765075
11;195;0.7488870044519823
12;195;0.7488870044519823
13;194;0.7464954521134296
14;192;0.7432638813134067
15;192;0.7432638813134067
16;192;0.7432638813134067
17;192;0.7432638813134067
18;191;0.7472418358340689
19;190;0.7447638146167559
20;190;0.7447638146167559
21;190;0.7447638146167559
22;189;0.7422367236723673
23;189;0.7422367236723673
24;188;0.739659090909091
25;188;0.739659090909091
26;188;0.739659090909091
27;184;0.7341382575757577
28;183;0.733133971291866
29;180;0.7335310839204053
30;180;0.7335310839204053
31;175;0.7334726940162005
32;172;0.7298539751216874
33;169;0.7259736620902213
34;166;0.7278140885984024
35;163;0.7296564195298373
36;160;0.7250939849624062
37;156;0.7184193121693122
38;155;0.7166331321260898
39;153;0.7129054520358868
40;153;0.7129054520358868
ROC_AUC_SCORE weighted;0.7400300095030007;
F1_SCORE weighted;0.0;
