SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.7004688384124161
2;227;0.6995603321934538
3;218;0.7019423395174638
4;213;0.7012957593330917
5;207;0.7025804608645972
6;200;0.7061443465937848
7;200;0.7061443465937848
8;198;0.707298216678693
9;198;0.707298216678693
10;198;0.707298216678693
11;195;0.707441170235319
12;195;0.707441170235319
13;194;0.7080791867308722
14;192;0.7075924511835934
15;192;0.7075924511835934
16;192;0.7075924511835934
17;192;0.7075924511835934
18;191;0.7121579876434245
19;190;0.7127896613190732
20;190;0.7127896613190732
21;190;0.7127896613190732
22;189;0.7134338433843384
23;189;0.7134338433843384
24;188;0.7140909090909091
25;188;0.7140909090909091
26;188;0.7140909090909091
27;184;0.7111742424242424
28;183;0.7099282296650717
29;180;0.7138796193301198
30;180;0.7138796193301198
31;175;0.7132218447870393
32;172;0.7088967009194158
33;169;0.7042588960493135
34;166;0.7058823529411765
35;163;0.7075045207956601
36;160;0.7020676691729324
37;156;0.6941137566137565
38;155;0.6919852448021462
39;153;0.6875431331953071
40;153;0.6875431331953071
ROC_AUC_SCORE weighted;0.7068032454957239;
F1_SCORE weighted;0.0;
