SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5401554876658611
2;937;0.5401554876658611
3;937;0.5401554876658611
4;937;0.5401554876658611
5;937;0.5401554876658611
6;937;0.5401554876658611
7;937;0.5401554876658611
8;937;0.5401554876658611
9;937;0.5401554876658611
10;937;0.5401554876658611
11;937;0.5401554876658611
12;937;0.5401554876658611
13;937;0.5401554876658611
14;937;0.5372372440837172
15;937;0.535773562537048
16;937;0.5385914914960558
17;916;0.5589469759259614
18;915;0.5388465113604783
19;897;0.5480427935809629
20;895;0.5561095315121618
21;872;0.5633445047345462
22;864;0.577192544155026
23;830;0.5668734021399489
24;814;0.5592693775398949
25;770;0.5650613656006914
26;752;0.5519594988344989
27;706;0.5408482013734516
28;686;0.5201292224585807
29;642;0.5360857041790894
30;618;0.5354219963010953
31;582;0.5498786181139121
32;547;0.5176782895680874
33;509;0.5273129011661122
34;483;0.5324829931972789
35;452;0.5297764316220692
36;424;0.5381240349974267
37;399;0.5525757311471597
38;382;0.5308571609512048
39;353;0.5248299319727892
40;337;0.5321279139270771
ROC_AUC_SCORE weighted;0.5433915363524553;
F1_SCORE weighted;0.0;
