SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.44632483698873743
2;937;0.44632483698873743
3;937;0.44632483698873743
4;937;0.44632483698873743
5;937;0.44632483698873743
6;937;0.44632483698873743
7;937;0.44632483698873743
8;937;0.44632483698873743
9;937;0.44632483698873743
10;937;0.44632483698873743
11;937;0.44632483698873743
12;937;0.44632483698873743
13;937;0.44632483698873743
14;937;0.4233185901235694
15;937;0.4233185901235694
16;937;0.38192740869089414
17;916;0.375043023500392
18;915;0.3540818184431688
19;897;0.35845873119032146
20;895;0.3397767574573257
21;872;0.3276492180019151
22;864;0.3185842149855532
23;830;0.30914449389262383
24;814;0.303021855486173
25;770;0.29730337078651686
26;752;0.29715909090909093
27;706;0.2974654777743804
28;686;0.2985488953421659
29;642;0.2828440042447824
30;618;0.28366944638249336
31;582;0.27045751633986925
32;547;0.26126416989525036
33;509;0.27215445105353364
34;483;0.2607237339380196
35;452;0.25932624422557304
36;424;0.262004632012352
37;399;0.26255886970172687
38;382;0.2683892213672778
39;353;0.2620181405895692
40;337;0.2586030227990778
ROC_AUC_SCORE weighted;0.3704451825335828;
F1_SCORE weighted;0.37058351822258573;
