SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4631640144088277
2;937;0.4631640144088277
3;937;0.4631640144088277
4;937;0.4631640144088277
5;937;0.4631640144088277
6;937;0.4631640144088277
7;937;0.4631640144088277
8;937;0.4631640144088277
9;937;0.4631640144088277
10;937;0.4631640144088277
11;937;0.4631640144088277
12;937;0.4631640144088277
13;937;0.4631640144088277
14;937;0.4824495007067621
15;937;0.4824586202179563
16;937;0.5473188637089053
17;916;0.5605412356349314
18;915;0.6073184287945723
19;897;0.6147852822076689
20;895;0.6387278591020066
21;872;0.6588972231088415
22;864;0.6687178205991615
23;830;0.68157312281034
24;814;0.6837613985528794
25;770;0.6919688850475367
26;752;0.6962303321678323
27;706;0.6952995231759621
28;686;0.7023734917426496
29;642;0.7211935923998181
30;618;0.7233130668792982
31;582;0.727849361967009
32;547;0.7291074759649877
33;509;0.7344070302785899
34;483;0.7408730158730159
35;452;0.7509587727708534
36;424;0.7516469377251673
37;399;0.7484446770161055
38;382;0.7497545992843799
39;353;0.7579365079365078
40;337;0.7508965929468021
ROC_AUC_SCORE weighted;0.5804292946448861;
F1_SCORE weighted;0.060825508223521355;
