SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5012676120559938
2;937;0.5012676120559938
3;937;0.5012676120559938
4;937;0.5012676120559938
5;937;0.5012676120559938
6;937;0.5012676120559938
7;937;0.5012676120559938
8;937;0.5012676120559938
9;937;0.5012676120559938
10;937;0.5012676120559938
11;937;0.5012676120559938
12;937;0.5012676120559938
13;937;0.5012676120559938
14;937;0.47739045187177964
15;937;0.47739045187177964
16;937;0.42159272263006703
17;916;0.41171338700116644
18;915;0.3762469694210995
19;897;0.3737039444083387
20;895;0.35056714858388677
21;872;0.3334450473454623
22;864;0.32192707088701095
23;830;0.30593693778998204
24;814;0.30017531469917735
