SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.49906980985819166
2;937;0.49906980985819166
3;937;0.49906980985819166
4;937;0.49906980985819166
5;937;0.49906980985819166
6;937;0.49906980985819166
7;937;0.49906980985819166
8;937;0.49906980985819166
9;937;0.49906980985819166
10;937;0.49906980985819166
11;937;0.49906980985819166
12;937;0.49906980985819166
13;937;0.49906980985819166
14;937;0.5260476038484337
15;937;0.5260476038484337
16;937;0.5868747435137476
17;916;0.5957535805113103
18;915;0.6301400055580578
19;897;0.6283457481377793
20;895;0.6547928827625008
21;872;0.6679753165230344
22;864;0.6767531663444202
23;830;0.6902814600890066
24;814;0.6972600109029637
25;770;0.7043768366464995
26;752;0.7086866258741259
27;706;0.7025427860737631
28;686;0.7086227745756577
29;642;0.723583809186922
30;618;0.7207437677885201
31;582;0.727849361967009
32;547;0.7308796097001005
33;509;0.7279631683301407
34;483;0.7373960695389266
35;452;0.7389305325546937
36;424;0.7403242408646423
37;399;0.7416128844700274
38;382;0.7379753649346126
39;353;0.7435752078609221
40;337;0.7339253693109042
ROC_AUC_SCORE weighted;0.60213200865769;
F1_SCORE weighted;0.0;
