SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5001664310792941
2;937;0.5001664310792941
3;937;0.5001664310792941
4;937;0.5001664310792941
5;937;0.5001664310792941
6;937;0.5001664310792941
7;937;0.5001664310792941
8;937;0.5001664310792941
9;937;0.5001664310792941
10;937;0.5001664310792941
11;937;0.5001664310792941
12;937;0.5001664310792941
13;937;0.5001664310792941
14;937;0.5239409967625734
15;937;0.5239409967625734
16;937;0.5795700150471933
17;916;0.589962139319655
18;915;0.6234367962588522
19;897;0.6260360945858121
20;895;0.6506962514944793
21;872;0.6673502500265986
22;864;0.6749608959179684
23;830;0.6848753669160117
24;814;0.6908111557141441
25;770;0.694447709593777
26;752;0.6944274475524476
27;706;0.6959978183440901
28;686;0.6974129028271826
29;642;0.7211177927131234
30;618;0.7197470569343389
31;582;0.7316837846249612
32;547;0.742430764815612
33;509;0.7376919716369257
34;483;0.7458805744520031
35;452;0.7497603068072867
36;424;0.7468862583633556
37;399;0.7541426827141112
38;382;0.74953294702511
39;353;0.756991685563114
40;337;0.756340192980958
ROC_AUC_SCORE weighted;0.6017293070184178;
F1_SCORE weighted;0.0;
