SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5097350781998085
2;937;0.5097350781998085
3;937;0.5097350781998085
4;937;0.5097350781998085
5;937;0.5097350781998085
6;937;0.5097350781998085
7;937;0.5097350781998085
8;937;0.5097350781998085
9;937;0.5097350781998085
10;937;0.5097350781998085
11;937;0.5097350781998085
12;937;0.5097350781998085
13;937;0.5097350781998085
14;937;0.5252587661301354
15;937;0.5235442980256259
16;937;0.538874196343076
17;916;0.5106411457636193
18;915;0.4929350378043754
19;897;0.493915912613108
20;895;0.5049481076627853
21;872;0.5106580487285881
22;864;0.5185255588625057
23;830;0.5216302906921694
24;814;0.5031996481316285
25;770;0.5125877268798618
26;752;0.5415355477855478
27;706;0.5259980662595346
28;686;0.5181123282109221
29;642;0.5110970741320936
30;618;0.5223152485686124
31;582;0.5188297541238718
32;547;0.5154828526330894
33;509;0.5406795039822563
34;483;0.5217592592592593
35;452;0.5183583195328162
36;424;0.534945959855893
37;399;0.5289115646258503
38;382;0.5313637946866786
39;353;0.5322373393801966
40;337;0.5113141490905987
ROC_AUC_SCORE weighted;0.5148166674950069;
F1_SCORE weighted;0.0;
