SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5522661985317586
2;937;0.5522661985317586
3;937;0.5522661985317586
4;937;0.5522661985317586
5;937;0.5522661985317586
6;937;0.5522661985317586
7;937;0.5522661985317586
8;937;0.5522661985317586
9;937;0.5522661985317586
10;937;0.5522661985317586
11;937;0.5522661985317586
12;937;0.5522661985317586
13;937;0.5522661985317586
14;937;0.5761342392047787
15;937;0.5761342392047787
16;937;0.6243559345219096
17;916;0.630528519800371
18;915;0.6553237568637222
19;897;0.6465480177973305
20;895;0.6670149598625583
21;872;0.6718666879455262
22;864;0.6818991549173383
23;830;0.6859198939494366
24;814;0.6837335216572505
25;770;0.6775350043215213
26;752;0.6759032634032633
27;706;0.6737763306861473
28;686;0.6790048811488796
29;642;0.696922532720198
30;618;0.696961139351252
31;582;0.7105322128851541
32;547;0.7059047209068733
33;509;0.7043720805188695
34;483;0.7110260770975056
35;452;0.7165519044713674
36;424;0.7062532166752445
37;399;0.7058985987557416
38;382;0.70681739020297
39;353;0.6967687074829932
40;337;0.7043591495175476
ROC_AUC_SCORE weighted;0.6220064199493578;
F1_SCORE weighted;0.0018878971887860924;
