SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5550020518900187
2;937;0.5550020518900187
3;937;0.5550020518900187
4;937;0.5550020518900187
5;937;0.5550020518900187
6;937;0.5550020518900187
7;937;0.5550020518900187
8;937;0.5550020518900187
9;937;0.5550020518900187
10;937;0.5550020518900187
11;937;0.5550020518900187
12;937;0.5550020518900187
13;937;0.5550020518900187
14;937;0.5784141170033287
15;937;0.5784141170033287
16;937;0.6238953992066025
17;916;0.630258427825688
18;915;0.654911693961841
19;897;0.6505799130130481
20;895;0.6726512814845328
21;872;0.6830434088732844
22;864;0.6936575351393626
23;830;0.7039697945270335
24;814;0.7092439785905441
25;770;0.7099222126188418
26;752;0.7118079836829836
27;706;0.7095753208439041
28;686;0.7105778821286399
29;642;0.7267673960280964
30;618;0.7273497458387321
31;582;0.7386554621848739
32;547;0.7433849906729804
33;509;0.7443458681990793
34;483;0.7492535903250189
35;452;0.7555129434324066
36;424;0.7566392177045805
37;399;0.7535467178324321
38;382;0.7534276938665654
39;353;0.7568216175359033
40;337;0.7604602510460251
ROC_AUC_SCORE weighted;0.6360170311747094;
F1_SCORE weighted;0.0;
