SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5043203684282522
2;937;0.5043203684282522
3;937;0.5043203684282522
4;937;0.5043203684282522
5;937;0.5043203684282522
6;937;0.5043203684282522
7;937;0.5043203684282522
8;937;0.5043203684282522
9;937;0.5043203684282522
10;937;0.5043203684282522
11;937;0.5043203684282522
12;937;0.5043203684282522
13;937;0.5043203684282522
14;937;0.480210660708586
15;937;0.4796315717477543
16;937;0.42435365464411107
17;916;0.41359207985161667
18;915;0.37723879524306914
19;897;0.38302504624306355
20;895;0.36269126822259956
21;872;0.3591844877114587
22;864;0.34836034411592187
23;830;0.35295840829466907
24;814;0.3615230696798494
25;770;0.36619533275713056
26;752;0.37237398018648016
27;706;0.38790089993306287
28;686;0.39384163187487314
29;642;0.3805548537066047
30;618;0.39167967928059627
31;582;0.4057703081232493
32;547;0.41974458315396757
33;509;0.40647578720973215
34;483;0.3927059712773998
35;452;0.40708620238821575
36;424;0.4143849716932579
37;399;0.4155910227338798
38;382;0.4343750989519015
39;353;0.43157596371882084
40;337;0.4631329519255401
ROC_AUC_SCORE weighted;0.44026382779186296;
F1_SCORE weighted;0.0;
