SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.49706579727326616
2;937;0.49706579727326616
3;937;0.49706579727326616
4;937;0.49706579727326616
5;937;0.49706579727326616
6;937;0.49706579727326616
7;937;0.49706579727326616
8;937;0.49706579727326616
9;937;0.49706579727326616
10;937;0.49706579727326616
11;937;0.49706579727326616
12;937;0.49706579727326616
13;937;0.49706579727326616
14;937;0.5214399708175642
15;937;0.5214399708175642
16;937;0.5803428936209019
17;916;0.590542956574947
18;915;0.6237434477207173
19;897;0.6215467679848022
20;895;0.6419026855414787
21;872;0.6551282051282051
22;864;0.6635881253937564
23;830;0.6641416532525329
24;814;0.6611718207949252
25;770;0.6553362143474503
26;752;0.6543924825174826
27;706;0.64901370972407
28;686;0.656373297555895
29;642;0.6772803072413968
30;618;0.6773480846539753
31;582;0.6884469343292873
32;547;0.6797962404936145
33;509;0.679369560103505
34;483;0.6927248677248676
35;452;0.6958838141724047
36;424;0.6827071538857438
37;399;0.6746177103319959
38;382;0.6753586016908901
39;353;0.6721277399848828
40;337;0.6687729485099478
ROC_AUC_SCORE weighted;0.5829151577719918;
F1_SCORE weighted;0.05665026706042615;
