SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4970088003283024
2;937;0.4970088003283024
3;937;0.4970088003283024
4;937;0.4970088003283024
5;937;0.4970088003283024
6;937;0.4970088003283024
7;937;0.4970088003283024
8;937;0.4970088003283024
9;937;0.4970088003283024
10;937;0.4970088003283024
11;937;0.4970088003283024
12;937;0.4970088003283024
13;937;0.4970088003283024
14;937;0.5212256623045005
15;937;0.521385253750399
16;937;0.5738247229948474
17;916;0.5893741514809646
18;915;0.6216232403476661
19;897;0.6256861470779382
20;895;0.6467000894175801
21;872;0.6633790828811575
22;864;0.6747327887727833
23;830;0.687340213994887
24;814;0.6944506393101397
25;770;0.6989248055315471
26;752;0.7031250000000001
27;706;0.6968944458676627
28;686;0.7040284924929165
29;642;0.7155945222093083
30;618;0.7218235378805498
31;582;0.7263803299097419
32;547;0.7299971301477974
33;509;0.7285428638639648
34;483;0.7361772486772487
35;452;0.739399023794997
36;424;0.7404915079773546
37;399;0.747310890168033
38;382;0.7461290016148949
39;353;0.7578798185941042
40;337;0.752092050209205
ROC_AUC_SCORE weighted;0.5993661737245777;
F1_SCORE weighted;0.0;
