SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4705029410423601
2;937;0.4705029410423601
3;937;0.4705029410423601
4;937;0.4705029410423601
5;937;0.4705029410423601
6;937;0.4705029410423601
7;937;0.4705029410423601
8;937;0.4705029410423601
9;937;0.4705029410423601
10;937;0.4705029410423601
11;937;0.4705029410423601
12;937;0.4705029410423601
13;937;0.4705029410423601
14;937;0.4696707856458894
15;937;0.4502348274132506
16;937;0.44777939902421227
17;916;0.4130973095971088
18;915;0.40474159822908773
19;897;0.3933310003499475
20;895;0.394401856670652
21;872;0.3827534844132354
22;864;0.3803333622993201
23;830;0.3691470978127071
24;814;0.36574796808405197
25;770;0.37040622299049264
26;752;0.3704035547785548
27;706;0.37273260666561986
28;686;0.3748378099264739
29;642;0.37299509828692706
30;618;0.3580905234946898
31;582;0.35772798008092127
32;547;0.3581575548859234
33;509;0.3593356185099304
34;483;0.35720899470899464
35;452;0.36535779656585027
36;424;0.3743823983530623
37;399;0.36350950636664925
38;382;0.37148918653620844
39;353;0.3756991685563114
40;337;0.3965075569976944
ROC_AUC_SCORE weighted;0.42155449247270177;
F1_SCORE weighted;0.0;
