SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4705006611645616
2;937;0.4705006611645616
3;937;0.4705006611645616
4;937;0.4705006611645616
5;937;0.4705006611645616
6;937;0.4705006611645616
7;937;0.4705006611645616
8;937;0.4705006611645616
9;937;0.4705006611645616
10;937;0.4705006611645616
11;937;0.4705006611645616
12;937;0.4705006611645616
13;937;0.4705006611645616
14;937;0.48775249646618946
15;937;0.45163467238156035
16;937;0.48444439378049337
17;916;0.41910625848519034
18;915;0.4238929403083764
19;897;0.3963030545418187
20;895;0.4090050536003135
21;872;0.3890945845302691
22;864;0.39053029480132956
23;830;0.3761717640374964
24;814;0.36856663197541883
25;770;0.3737182368193604
26;752;0.3737689393939394
27;706;0.38072374782041
28;686;0.375429196861236
29;642;0.38190408812976906
30;618;0.3598181556419372
31;582;0.36287581699346405
32;547;0.3576696800114794
33;509;0.36047820680848197
34;483;0.3565003779289493
35;452;0.36846291292600014
36;424;0.3777663407102419
37;399;0.3679283679283679
38;382;0.3757639086792691
39;353;0.37891156462585035
40;337;0.40077704722056184
ROC_AUC_SCORE weighted;0.42623839860092877;
F1_SCORE weighted;0.0;
