SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4642309972185491
2;937;0.4642309972185491
3;937;0.4642309972185491
4;937;0.4642309972185491
5;937;0.4642309972185491
6;937;0.4642309972185491
7;937;0.4642309972185491
8;937;0.4642309972185491
9;937;0.4642309972185491
10;937;0.4642309972185491
11;937;0.4642309972185491
12;937;0.4642309972185491
13;937;0.4642309972185491
14;937;0.4795814144361863
15;937;0.4431079294149834
16;937;0.47380648397245906
17;916;0.40977493928906056
18;915;0.4158337565762364
19;897;0.3918587211918212
20;895;0.404046899018416
21;872;0.38822215129269066
22;864;0.3904868458212944
23;830;0.37703579206514537
24;814;0.369087000693825
25;770;0.37189974070872944
26;752;0.3715690559440559
27;706;0.381037774049864
28;686;0.37472306320778875
29;642;0.3821668603769771
30;618;0.3600728706380057
31;582;0.36349828820417057
32;547;0.3584875878892237
33;509;0.36128473972510666
34;483;0.3575207860922146
35;452;0.3706419419506668
36;424;0.37892434379825013
37;399;0.36984708413279843
38;382;0.3778221082296317
39;353;0.38117913832199546
40;337;0.40222867389633676
ROC_AUC_SCORE weighted;0.42222532882567776;
F1_SCORE weighted;0.0;
