SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5557353766885754
2;937;0.5557353766885754
3;937;0.5557353766885754
4;937;0.5557353766885754
5;937;0.5557353766885754
6;937;0.5557353766885754
7;937;0.5557353766885754
8;937;0.5557353766885754
9;937;0.5557353766885754
10;937;0.5557353766885754
11;937;0.5557353766885754
12;937;0.5557353766885754
13;937;0.5557353766885754
14;937;0.5589446334401251
15;937;0.5589583952615297
16;937;0.564474133280488
17;916;0.5611039084615934
18;915;0.5652651564906916
19;897;0.5497833277776354
20;895;0.5524845804724776
21;872;0.5424763725177869
22;864;0.5360848241531189
23;830;0.5398890524723241
24;814;0.5404961949588704
25;770;0.5383387517207041
26;752;0.5397002301915486
27;706;0.541720623501199
28;686;0.5366748648613102
29;642;0.5372790965178291
30;618;0.5392904953145918
31;582;0.5548272972721349
32;547;0.549046619434969
33;509;0.5559471930274288
34;483;0.5512604802372669
35;452;0.5390463250517599
36;424;0.5417023882424985
37;399;0.5458775400107894
38;382;0.5275175928172774
39;353;0.5298339674852992
40;337;0.5481969011380776
ROC_AUC_SCORE weighted;0.5508047714022378;
F1_SCORE weighted;0.0;
