SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4442646233114245
2;937;0.4442646233114245
3;937;0.4442646233114245
4;937;0.4442646233114245
5;937;0.4442646233114245
6;937;0.4442646233114245
7;937;0.4442646233114245
8;937;0.4442646233114245
9;937;0.4442646233114245
10;937;0.4442646233114245
11;937;0.4442646233114245
12;937;0.4442646233114245
13;937;0.4442646233114245
14;937;0.508587376556462
15;937;0.5098947495898978
16;937;0.6028420913564753
17;916;0.5852790398934272
18;915;0.6587625234347946
19;897;0.6571290289494602
20;895;0.7038674890414679
21;872;0.7135747407171428
22;864;0.7353473187302848
23;830;0.7328922003237325
24;814;0.7481854572647693
25;770;0.7673998574622423
26;752;0.7716260272688451
27;706;0.7784292565947243
28;686;0.7744860784133205
29;642;0.7775279723936002
30;618;0.7808818607764391
31;582;0.77932222325668
32;547;0.7731675850607889
33;509;0.7792745449884645
34;483;0.7861889009296754
35;452;0.7798751293995858
36;424;0.7545417432129007
37;399;0.7756473655817298
38;382;0.7785488958990536
39;353;0.7706675890695261
40;337;0.7377622377622377
ROC_AUC_SCORE weighted;0.6022327066781618;
F1_SCORE weighted;0.02654858017239454;
