SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.504761590205987
2;937;0.504761590205987
3;937;0.504761590205987
4;937;0.504761590205987
5;937;0.504761590205987
6;937;0.504761590205987
7;937;0.504761590205987
8;937;0.504761590205987
9;937;0.504761590205987
10;937;0.504761590205987
11;937;0.504761590205987
12;937;0.504761590205987
13;937;0.504761590205987
14;937;0.5617190166352899
15;937;0.5634832821393578
16;937;0.6456661272032677
17;916;0.630153198372862
18;915;0.6909264057891407
19;897;0.6830623862150311
20;895;0.7268319174521899
21;872;0.7339315422462921
22;864;0.7528548004029442
23;830;0.7514580164469135
24;814;0.7719350723617648
25;770;0.7880483066319108
26;752;0.7902757090628809
27;706;0.7994664268585132
28;686;0.8089184959162469
29;642;0.8065385936869781
30;618;0.8070950468540831
31;582;0.8159016851317382
32;547;0.7984890230035862
33;509;0.7951422712125097
34;483;0.8046255632236354
35;452;0.8003040890269152
36;424;0.7702796489079403
37;399;0.7868863513756518
38;382;0.7893229798592574
39;353;0.7738383488988816
40;337;0.7506170300287947
ROC_AUC_SCORE weighted;0.642847227747639;
F1_SCORE weighted;0.0;
