SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5098176833900321
2;937;0.5098176833900321
3;937;0.5098176833900321
4;937;0.5098176833900321
5;937;0.5098176833900321
6;937;0.5098176833900321
7;937;0.5098176833900321
8;937;0.5098176833900321
9;937;0.5098176833900321
10;937;0.5098176833900321
11;937;0.5098176833900321
12;937;0.5098176833900321
13;937;0.5098176833900321
14;937;0.5677632085961841
15;937;0.5710908170118132
16;937;0.647845999713754
17;916;0.6349198325284868
18;915;0.6968910834338393
19;897;0.6944953716761968
20;895;0.7398496191990896
21;872;0.7539768503769778
22;864;0.7797667629909043
23;830;0.7792681042125897
24;814;0.793881141952228
25;770;0.8019847894639212
26;752;0.8138885706250587
27;706;0.812601918465228
28;686;0.8201373088001263
29;642;0.8290957709027352
30;618;0.8294260374832664
31;582;0.8239363187785123
32;547;0.822334470392723
33;509;0.8248526018969495
34;483;0.8169737067244625
35;452;0.791893115942029
36;424;0.7726474790773629
37;399;0.7837169573817659
38;382;0.7661247270080078
39;353;0.7595411045774243
40;337;0.7420128890717127
ROC_AUC_SCORE weighted;0.6520356671049989;
F1_SCORE weighted;0.002090229792421991;
