SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4939613127676674
2;937;0.4939613127676674
3;937;0.4939613127676674
4;937;0.4939613127676674
5;937;0.4939613127676674
6;937;0.4939613127676674
7;937;0.4939613127676674
8;937;0.4939613127676674
9;937;0.4939613127676674
10;937;0.4939613127676674
11;937;0.4939613127676674
12;937;0.4939613127676674
13;937;0.4939613127676674
14;937;0.559946494038379
15;937;0.5619612246920105
16;937;0.6394540410212373
17;916;0.6239919594642814
18;915;0.6823286722472326
19;897;0.6773891638247135
20;895;0.7272230626996135
21;872;0.7364518070156808
22;864;0.7699174258634257
23;830;0.7782025524438553
24;814;0.7962521444595962
25;770;0.8104394263343389
26;752;0.8205391273552971
27;706;0.8357553956834533
28;686;0.8357423750213724
29;642;0.8474328139705113
30;618;0.8513637884872826
31;582;0.8614654129038264
32;547;0.8477105746523221
33;509;0.8578569597539093
34;483;0.8493127245765127
35;452;0.8488936335403727
36;424;0.8180649112063686
37;399;0.8310330875741773
38;382;0.8419558359621452
39;353;0.8323244552058111
40;337;0.8084121760592349
ROC_AUC_SCORE weighted;0.6514924392138882;
F1_SCORE weighted;0.3789251443178579;
