SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.535348614459821
2;937;0.535348614459821
3;937;0.535348614459821
4;937;0.535348614459821
5;937;0.535348614459821
6;937;0.535348614459821
7;937;0.535348614459821
8;937;0.535348614459821
9;937;0.535348614459821
10;937;0.535348614459821
11;937;0.535348614459821
12;937;0.535348614459821
13;937;0.535348614459821
14;937;0.5321255958868668
15;937;0.5373303167420814
16;937;0.560144664266605
17;916;0.587892808716131
18;915;0.5920644113537847
19;897;0.6069354342419035
20;895;0.617624810892587
21;872;0.6317652472478851
22;864;0.6461150449635659
23;830;0.6613253511847148
24;814;0.6741213214270004
25;770;0.6797733063878395
26;752;0.689736165071297
27;706;0.6977338129496403
28;686;0.7048518406481395
29;642;0.7137255194873098
30;618;0.7240461847389559
31;582;0.7268131458895821
32;547;0.7113181142307355
33;509;0.7201102281466291
34;483;0.7151086522557464
35;452;0.7058909161490684
36;424;0.6983670136762604
37;399;0.7012228016543787
38;382;0.7017956806600341
39;353;0.6864695030554595
40;337;0.6659467982997395
ROC_AUC_SCORE weighted;0.6041703937261877;
F1_SCORE weighted;0.0;
