SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4606109147757924
2;937;0.4606109147757924
3;937;0.4606109147757924
4;937;0.4606109147757924
5;937;0.4606109147757924
6;937;0.4606109147757924
7;937;0.4606109147757924
8;937;0.4606109147757924
9;937;0.4606109147757924
10;937;0.4606109147757924
11;937;0.4606109147757924
12;937;0.4606109147757924
13;937;0.4606109147757924
14;937;0.5163380343715251
15;937;0.4796022283141218
16;937;0.5447369290220299
17;916;0.45618145919071296
18;915;0.5112636280047288
19;897;0.4712268263288803
20;895;0.5077485550254083
21;872;0.47424161976567203
22;864;0.4792461709277274
23;830;0.45354275628146834
24;814;0.4463291250604847
25;770;0.4540657431000986
26;752;0.45027445915402003
27;706;0.45561151079136686
28;686;0.4295634790156906
29;642;0.4550200923201027
30;618;0.44094712182061574
31;582;0.45242528628619316
32;547;0.4634391673226625
33;509;0.4824532171238145
34;483;0.48930588033993044
35;452;0.4694131728778468
36;424;0.44117166768728305
37;399;0.500854162920338
38;382;0.4941276389225916
39;353;0.4790441600368961
40;337;0.4375771287535994
ROC_AUC_SCORE weighted;0.4686094782995062;
F1_SCORE weighted;0.41229564883087866;
