SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4874229004063258
2;937;0.46682890467420857
3;937;0.5067745330176271
4;937;0.5042313426291327
5;937;0.4631712414861586
6;937;0.4881317781870268
7;937;0.4516355345084627
8;937;0.4926773656055423
9;937;0.5233746967172384
10;937;0.5024408781314859
11;937;0.5079109298722558
12;937;0.5173784676547107
13;937;0.5021595194247127
14;937;0.5065954865678624
15;937;0.49200868192580904
16;937;0.5088938583413721
17;916;0.5120093599033816
18;915;0.49496598639455774
19;897;0.512752680474938
20;895;0.48856543179051837
21;872;0.4858864521418324
22;864;0.5174497200912295
23;830;0.49904761904761913
24;814;0.5367909681188922
25;770;0.5069204334626413
26;752;0.49233140783776863
27;706;0.527562135910271
28;686;0.5180366021368876
29;642;0.5351913375169188
30;618;0.5400481089103844
31;582;0.5485843605546995
32;547;0.5245761183261183
33;509;0.5851597927013604
34;483;0.5256454442912645
35;452;0.5399962602842184
36;424;0.5051853439040068
37;399;0.5389082751744766
38;382;0.5412193251533742
39;353;0.5205759935553168
40;337;0.540498899486427
ROC_AUC_SCORE weighted;0.5070093997266191;
F1_SCORE weighted;0.0;
