SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5627539536379316
2;937;0.5627539536379316
3;937;0.5639232365751703
4;937;0.5689255751410448
5;937;0.5682422754245958
6;937;0.5605907802040399
7;937;0.5607186705253004
8;937;0.5610694554064719
9;937;0.5614604343886112
10;937;0.5620121897746206
11;937;0.562202198251922
12;937;0.5622314303253529
13;937;0.5625383670963781
14;937;0.5664225788535181
15;937;0.5670108743313164
16;937;0.5665248911105264
17;916;0.564549365942029
18;915;0.5746447467876039
19;897;0.5744658502046343
20;895;0.5983934646234511
21;872;0.5964459930313589
22;864;0.6279286750984865
23;830;0.6153292321713374
24;814;0.6250742133386107
25;770;0.61673026648676
26;752;0.6381904793704853
27;706;0.6489647120197741
28;686;0.65897730879086
29;642;0.6612218530823182
30;618;0.6775167613490968
31;582;0.6912365177195686
32;547;0.6933396464646465
33;509;0.6856915353055496
34;483;0.6757895726281489
35;452;0.6498878085265519
36;424;0.6443539747160917
37;399;0.614506480558325
38;382;0.6332712532865907
39;353;0.6068407626208377
40;337;0.6303008070432868
ROC_AUC_SCORE weighted;0.596435940024903;
F1_SCORE weighted;0.12674096887900768;
