SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4980122190066941
2;937;0.4965798474085767
3;937;0.5254319038849427
4;937;0.5427994095121167
5;937;0.5418749451898623
6;937;0.509580812067
7;937;0.5105637405361163
8;937;0.5050754187494519
9;937;0.5052544651992166
10;937;0.501362945423719
11;937;0.501531029845947
12;937;0.5006906077348066
13;937;0.5014323715981175
14;937;0.5045017393083692
15;937;0.5031241778479347
16;937;0.4971535268496594
17;916;0.49153457125603867
18;915;0.508817082388511
19;897;0.5004084903751888
20;895;0.5388759714116288
21;872;0.5307440049190407
22;864;0.5589591540534937
23;830;0.5561357940305309
24;814;0.5680406736215167
25;770;0.566142055995952
26;752;0.5940265117366189
27;706;0.6079506639009303
28;686;0.6196445572834022
29;642;0.6291220622615972
30;618;0.6467748264155451
31;582;0.6671032357473036
32;547;0.6654716810966811
33;509;0.6485235370330382
34;483;0.6515697455821531
35;452;0.6207180254300673
36;424;0.6518962931219199
37;399;0.6273180458624126
38;382;0.6234114811568799
39;353;0.60187298603652
40;337;0.593470286133529
ROC_AUC_SCORE weighted;0.5465291328795574;
F1_SCORE weighted;0.29701941746868366;
