SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5630316583355257
2;937;0.5630316583355257
3;937;0.5630170422988102
4;937;0.569941389692771
5;937;0.5700619719956737
6;937;0.5608904089567073
7;937;0.5612302318103423
8;937;0.5618514133707504
9;937;0.5619646876552954
10;937;0.5625749071881667
11;937;0.5628233798123301
12;937;0.5631449326200707
13;937;0.563166856675144
14;937;0.5670364523955684
15;937;0.5678914905434242
16;937;0.5674018533134555
17;916;0.5654551630434783
18;915;0.5757407407407408
19;897;0.575555157871804
20;895;0.5993921850129522
21;872;0.5975691740110678
22;864;0.6291561268919759
23;830;0.6161130097972203
24;814;0.6261296919321855
25;770;0.61760520323832
26;752;0.6388360212361014
27;706;0.6492876572805525
28;686;0.6594930180894955
29;642;0.6616525163036792
30;618;0.6782673968302712
31;582;0.6920647149460708
32;547;0.6940386002886003
33;509;0.6868521917512417
34;483;0.6769488657726533
35;452;0.650897531787584
36;424;0.645382472680523
37;399;0.6155533399800598
38;382;0.634804995617879
39;353;0.6081834049409237
40;337;0.6311078503301542
ROC_AUC_SCORE weighted;0.5972017181535155;
F1_SCORE weighted;0.0;
