SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5472865327837703
2;937;0.5541779940951211
3;937;0.5604336578093484
4;937;0.5649353971177176
5;937;0.5677307141395539
6;937;0.5565165599695987
7;937;0.5528077406530445
8;937;0.5332076354175801
9;937;0.526922739629922
10;937;0.5338799731064925
11;937;0.536613171972288
12;937;0.5370479990645736
13;937;0.5358458300447251
14;937;0.532392791370692
15;937;0.5452512496711391
16;937;0.5506774533017627
17;916;0.5426064311594202
18;915;0.5637641723356009
19;897;0.557620485208758
20;895;0.587337317811554
21;872;0.5853002664480427
22;864;0.6130582624922248
23;830;0.5986466165413535
24;814;0.6026547171411609
25;770;0.5912727694383538
26;752;0.6147840217258228
27;706;0.6445304251698569
28;686;0.6460713530096265
29;642;0.6464254952627045
30;618;0.6751027858812291
31;582;0.6815870570107858
32;547;0.6820211038961039
33;509;0.6623299503347009
34;483;0.6607814262438904
35;452;0.6341062079281974
36;424;0.6308335118920078
37;399;0.6068544366899302
38;382;0.5993098159509203
39;353;0.5820018796992481
40;337;0.6036316947909024
ROC_AUC_SCORE weighted;0.5796822843736772;
F1_SCORE weighted;0.12602728077609168;
