SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4507585723055336
2;937;0.4503529772866789
3;937;0.43451284749627295
4;937;0.4341109064865971
5;937;0.4632918237890613
6;937;0.452760969335555
7;937;0.4560349615598235
8;937;0.4600616796749394
9;937;0.4555489783390335
10;937;0.45640401648688933
11;937;0.45263673302347335
12;937;0.4506599140577041
13;937;0.451087433131632
14;937;0.45507030313660146
15;937;0.45521646350375633
16;937;0.4661565669852963
17;916;0.46233016304347824
18;915;0.4852267573696145
19;897;0.49187687711053363
20;895;0.5208638931369183
21;872;0.5234802213568354
22;864;0.541766535351441
23;830;0.5132604237867395
24;814;0.5161431681320856
25;770;0.5178782256704334
26;752;0.5467071799837502
27;706;0.5663341986610193
28;686;0.5760142282873162
29;642;0.5687907591977359
30;618;0.6014552092396404
31;582;0.6161016949152542
32;547;0.6118551587301586
33;509;0.5837427121572015
34;483;0.5949993733550569
35;452;0.5839379207180253
36;424;0.6368759374330406
37;399;0.6304586241276171
38;382;0.6551818580192813
39;353;0.6603450590762621
40;337;0.6459280997798973
ROC_AUC_SCORE weighted;0.5039627386062199;
F1_SCORE weighted;0.19506167734040208;
