SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.49059823438276473
2;937;0.49063477447455345
3;937;0.5111703060598088
4;937;0.5228192873220497
5;937;0.5212626794118507
6;937;0.5116160951796311
7;937;0.5110972258762314
8;937;0.5071764740273028
9;937;0.5077574614867433
10;937;0.5049548364465491
11;937;0.5059158408605922
12;937;0.5041655704639131
13;937;0.506120465374609
14;937;0.5072020520915549
15;937;0.5072239761466281
16;937;0.5098329387003421
17;916;0.5068500905797102
18;915;0.523922902494331
19;897;0.5223658206377119
20;895;0.5477006023532349
21;872;0.5453125640500103
22;864;0.5755712212315987
23;830;0.5720528594212805
24;814;0.5920810833733849
25;770;0.5925588210490809
26;752;0.614021614522466
27;706;0.6198934280639432
28;686;0.6325505130646356
29;642;0.6385274393995324
30;618;0.6532917071839227
31;582;0.6694915254237288
32;547;0.668583152958153
33;509;0.6539219391060247
34;483;0.6585725028199023
35;452;0.650766641735228
36;424;0.6795800299978572
37;399;0.6579262213359921
38;382;0.666684925503944
39;353;0.6552765843179377
40;337;0.6742112986060161
ROC_AUC_SCORE weighted;0.5551310230834673;
F1_SCORE weighted;0.001124561877703137;
