SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4950195854891988
2;937;0.4732234207372329
3;937;0.5065224063842848
4;937;0.5085832675611681
5;937;0.46010552778508573
6;937;0.48505875646759633
7;937;0.47937311818527284
8;937;0.48223786138150776
9;937;0.47808325294513143
10;937;0.4795558186442165
11;937;0.4775607296325528
12;937;0.47824768335818063
13;937;0.47924888187319126
14;937;0.4777763161741062
15;937;0.46946709930135344
16;937;0.46967903183372794
17;916;0.4703540157004831
18;915;0.46715041572184435
19;897;0.4752454832635658
20;895;0.47507490402921254
21;872;0.4808157409305185
22;864;0.482911051212938
23;830;0.4713556618819777
24;814;0.46780790289596935
25;770;0.47542271040647666
26;752;0.4725533406791545
27;706;0.481747382280242
28;686;0.47861128742198245
29;642;0.48248123538821214
30;618;0.4773444563863726
31;582;0.47850539291217253
32;547;0.4680735930735931
33;509;0.45879669617793134
34;483;0.44151836069682915
35;452;0.45284218399401643
36;424;0.45661024212556245
37;399;0.4515453639082752
38;382;0.4688869412795793
39;353;0.4749932867883997
40;337;0.48422597212032276
ROC_AUC_SCORE weighted;0.47646054520869147;
F1_SCORE weighted;0.0;
