SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5691630857376714
2;937;0.5677380221579116
3;937;0.5677087900844807
4;937;0.5786817796486304
5;937;0.5777134672162297
6;937;0.5499795375485983
7;937;0.5490696892630594
8;937;0.5488869888041159
9;937;0.5481744570142361
10;937;0.5477871320412757
11;937;0.5477907860504545
12;937;0.5464826507644187
13;937;0.5460222456078809
14;937;0.5515288374404397
15;937;0.5537979771405186
16;937;0.554042795755503
17;916;0.5507963466183574
18;915;0.5624678760393047
19;897;0.5562977544700518
20;895;0.5960761212196872
21;872;0.5918466898954704
22;864;0.6138295666597554
23;830;0.6005832763727501
24;814;0.603615956574595
25;770;0.59375
26;752;0.6156187741382573
27;706;0.6263088598790197
28;686;0.640914260023273
29;642;0.6531007751937985
30;618;0.679205691181739
31;582;0.6974383667180277
32;547;0.695233585858586
33;509;0.6850437270567912
34;483;0.6799254292517859
35;452;0.6471204188481676
36;424;0.6537390186415256
37;399;0.6267696909272183
38;382;0.6179886064855391
39;353;0.5929444146079484
40;337;0.5832721936903889
ROC_AUC_SCORE weighted;0.5874445092698072;
F1_SCORE weighted;0.0;
