SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5711654827676927
2;937;0.5711581747493351
3;937;0.5711435587126195
4;937;0.580369931889269
5;937;0.5801178052559268
6;937;0.5707562337396591
7;937;0.5703579467391622
8;937;0.5679901487912538
9;937;0.5679718787453594
10;937;0.5696198368850303
11;937;0.5699413896927709
12;937;0.5683043935806367
13;937;0.5683043935806367
14;937;0.5729924873571282
15;937;0.5742092724136922
16;937;0.5737305972112603
17;916;0.5719165157004831
18;915;0.5820597127739986
19;897;0.5825267269416909
20;895;0.6101128241940015
21;872;0.6101947120311539
22;864;0.6394567696454488
23;830;0.625472772841194
24;814;0.6332777322288504
25;770;0.6236348878394333
26;752;0.6439558360323662
27;706;0.650368281807003
28;686;0.6615029620226383
29;642;0.668373938722776
30;618;0.6888445331559105
31;582;0.7012326656394454
32;547;0.7031250000000001
33;509;0.6947068667674366
34;483;0.6840299536282742
35;452;0.656357516828721
36;424;0.6524533961859867
37;399;0.622283150548355
38;382;0.6325043821209466
39;353;0.6126141245972072
40;337;0.6301540719002201
ROC_AUC_SCORE weighted;0.604393758450668;
F1_SCORE weighted;0.0;
