SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5059121868514134
2;937;0.46445379870794234
3;937;0.4825849922535006
4;937;0.4942960916717823
5;937;0.5438627261831682
6;937;0.505214271098249
7;937;0.4986334005671022
8;937;0.4985858984477769
9;937;0.5259251951240901
10;937;0.5437129118068345
11;937;0.5059816130258118
12;937;0.5092884913326903
13;937;0.5261152036013914
14;937;0.5013373673594669
15;937;0.5203601391446696
16;937;0.500591949486977
17;916;0.49970561594202895
18;915;0.5705555555555555
19;897;0.5168920496101835
20;895;0.5699338347741956
21;872;0.5529370772699322
22;864;0.5676508397263114
23;830;0.5579494190020505
24;814;0.5792692695522696
25;770;0.5434938438185191
26;752;0.5559729317617729
27;706;0.5635022171434249
28;686;0.5463344969850841
29;642;0.5535252860834257
30;618;0.5407987443915587
31;582;0.5621918335901387
32;547;0.5435944264069263
33;509;0.5989527099978406
34;483;0.5759337009650332
35;452;0.5383320867614061
36;424;0.5650739232911934
37;399;0.6272931206380857
38;382;0.6501971954425944
39;353;0.6389970461868959
40;337;0.540975788701394
ROC_AUC_SCORE weighted;0.5343685611611162;
F1_SCORE weighted;0.0;
