SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5472573007103394
2;937;0.5492596977403608
3;937;0.5595347715513462
4;937;0.5606236662866497
5;937;0.5572144757227631
6;937;0.5333720658306293
7;937;0.5303940483498494
8;937;0.5303648162764185
9;937;0.528961676751732
10;937;0.5279860563009735
11;937;0.5267875412903037
12;937;0.5258850010231225
13;937;0.5253515156830073
14;937;0.5305950188546874
15;937;0.5342490280335583
16;937;0.5380455435704055
17;916;0.5374773550724637
18;915;0.5467762660619804
19;897;0.5440274816762889
20;895;0.5815517618051871
21;872;0.5785693789711006
22;864;0.6020029027576197
23;830;0.5825199362041467
24;814;0.5858283150980559
25;770;0.5691568982965087
26;752;0.596925885115808
27;706;0.6156951396738253
28;686;0.6233206389505976
29;642;0.6295604158976251
30;618;0.650647423102513
31;582;0.6644356702619415
32;547;0.6719426406926408
33;509;0.6554334916864608
34;483;0.6488281739566362
35;452;0.613070306656694
36;424;0.6083351189200772
37;399;0.5773678963110668
38;382;0.5750985977212971
39;353;0.5549140708915146
40;337;0.5550256786500367
ROC_AUC_SCORE weighted;0.5671181462836002;
F1_SCORE weighted;0.009281715208119986;
