SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5568965769242012
2;937;0.5558734543541173
3;937;0.5672812710105528
4;937;0.5658562074307929
5;937;0.55282235668976
6;937;0.5493108538688649
7;937;0.5473632669765266
8;937;0.5457226168552135
9;937;0.5435521354029641
10;937;0.5419845654652284
11;937;0.5403804554357041
12;937;0.5398396620772311
13;937;0.5393792569206934
14;937;0.5439833084860709
15;937;0.5470453681779648
16;937;0.5478382881697799
17;916;0.5473807367149759
18;915;0.5560128495842782
19;897;0.5528119699351084
20;895;0.5901969351768046
21;872;0.5874974379995901
22;864;0.6126601700186606
23;830;0.594732285258601
24;814;0.5969673838266754
25;770;0.5825655675493338
26;752;0.6097922022994646
27;706;0.6281161112422214
28;686;0.6369935470221094
29;642;0.6427571674664697
30;618;0.6626575908013034
31;582;0.6773208782742681
32;547;0.6825847763347763
33;509;0.6658793996976895
34;483;0.6561599197894473
35;452;0.6204001495886313
36;424;0.61669166488108
37;399;0.58703888334995
38;382;0.5838080631025416
39;353;0.5665279269602578
40;337;0.5658840792369773
ROC_AUC_SCORE weighted;0.5780629091291757;
F1_SCORE weighted;0.0;
