SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5345669268321203
2;937;0.5047867520243211
3;937;0.4902255254465199
4;937;0.4974458475839691
5;937;0.49786605863953926
6;937;0.5171848051682306
7;937;0.5171701891315151
8;937;0.5183504340962904
9;937;0.5183577421146481
10;937;0.519695109474115
11;937;0.5203528311263117
12;937;0.5193370165745856
13;937;0.5193333625654069
14;937;0.516804788213628
15;937;0.5168084422228069
16;937;0.5174771259025404
17;916;0.5197992149758454
18;915;0.5092781557067272
19;897;0.508255395963337
20;895;0.49316110608283137
21;872;0.5015249026439844
22;864;0.4973792245490359
23;830;0.5056732740943267
24;814;0.5050370831095153
25;770;0.512396694214876
26;752;0.49927098289314065
27;706;0.49248531220112035
28;686;0.48464773087908597
29;642;0.4801587301587302
30;618;0.465308698841633
31;582;0.4489214175654853
32;547;0.4460790945165945
33;509;0.4507125890736342
34;483;0.44643752349918536
35;452;0.45213163799551237
36;424;0.44038997214484676
37;399;0.4401296111665005
38;382;0.4325153374233129
39;353;0.44233351235230933
40;337;0.4453044754218636
ROC_AUC_SCORE weighted;0.49871917428354123;
F1_SCORE weighted;0.0;
