SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4915957788885966
2;937;0.4915957788885966
3;937;0.4783865357069777
4;937;0.5061570054663977
5;937;0.5055175538600953
6;937;0.4927102516881523
7;937;0.49254947528428195
8;937;0.4919356017422316
9;937;0.4917967493934345
10;937;0.4916871291180684
11;937;0.49092709520886313
12;937;0.4917748253383613
13;937;0.49177117132918247
14;937;0.495947703820632
15;937;0.49595135782981087
16;937;0.49516574585635365
17;916;0.49037213164251214
18;915;0.5079856386999244
19;897;0.5070065825306173
20;895;0.5363323554196185
21;872;0.5231440869030538
22;864;0.5366742691270993
23;830;0.5287081339712918
24;814;0.5325077982905017
25;770;0.5243032130207455
26;752;0.5442140527786126
27;706;0.5604218161944627
28;686;0.5709100285623612
29;642;0.5828795988679709
30;618;0.6081426889810124
31;582;0.6319241140215716
32;547;0.6417072510822511
33;509;0.6264170805441589
34;483;0.6300758240381
35;452;0.6018885564697083
36;424;0.6284122562674095
37;399;0.6154037886340977
38;382;0.6208643733567046
39;353;0.585828410311493
40;337;0.5674247982391782
ROC_AUC_SCORE weighted;0.5271570619950873;
F1_SCORE weighted;0.09729118540599281;
