SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5345669268321203
2;937;0.48903797246338687
3;937;0.4758287292817679
4;937;0.5182517758484609
5;937;0.5186573708673156
6;937;0.5072678242567745
7;937;0.507253208220059
8;937;0.5096977403607239
9;937;0.5097050483790817
10;937;0.5111045338945892
11;937;0.5105308544535064
12;937;0.5123432430062265
13;937;0.5123395889970476
14;937;0.5170057587184659
15;937;0.5170094127276448
16;937;0.5129461545207401
17;916;0.5078766606280193
18;915;0.5256802721088436
19;897;0.523816934065763
20;895;0.5534198370837364
21;872;0.5413363394138143
22;864;0.5549035869790586
23;830;0.5511779448621554
24;814;0.5529812558310481
25;770;0.5479897537527407
26;752;0.5625285207074249
27;706;0.5790781154901936
28;686;0.5862490743679256
29;642;0.5993140150116895
30;618;0.6214408789259089
31;582;0.643692218798151
32;547;0.6426993145743146
33;509;0.6298450658605053
34;483;0.6326764005514476
35;452;0.5984293193717277
36;424;0.6210627812299121
37;399;0.5979062811565304
38;382;0.5986251095530237
39;353;0.5481001611170784
40;337;0.5281731474688187
ROC_AUC_SCORE weighted;0.5408293508020269;
F1_SCORE weighted;0.2521751018696586;
