SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5345669268321203
2;937;0.5345669268321203
3;937;0.5213576836505014
4;937;0.5491281534099214
5;937;0.5484887018036189
6;937;0.5356813996316758
7;937;0.5355206232278056
8;937;0.5362258469993277
9;937;0.5360869946505306
10;937;0.534658277061592
11;937;0.5352173404659593
12;937;0.5360650705954573
13;937;0.5360614165862785
14;937;0.5387690373878219
15;937;0.5387726913970008
16;937;0.5378226490104943
17;916;0.5350807669082126
18;915;0.542838246409675
19;897;0.537293226062464
20;895;0.5564862207796262
21;872;0.5519696659151465
22;864;0.5693510263321584
23;830;0.5741900205058099
24;814;0.582581776031212
25;770;0.5848319699780739
26;752;0.5858904582234243
27;706;0.597374206610441
28;686;0.5930590817729822
29;642;0.6040051679586564
30;618;0.6082365184161591
31;582;0.6091775808936826
32;547;0.6029040404040404
33;509;0.5845794644785143
34;483;0.5783462839954882
35;452;0.5440538519072551
36;424;0.5596957360188558
37;399;0.5371884346959123
38;382;0.5230882997370727
39;353;0.48949382384532764
40;337;0.46544387380777696
ROC_AUC_SCORE weighted;0.5519523236673733;
F1_SCORE weighted;0.0;
